Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
552;Sackur,_Cluniacenser;Sackur, Cluniacenser;Ernst Sackur, Die Cluniacenser in ihrer kirchlichen und allgemeingeschichtlichen Wirksamkeit bis zur Mitte des 11. Jahrhunderts, 2 Bde., Halle a. d. Saale 1892–1894. ;;I;;X;X;;;;;;http://www.archive.org/details/diecluniacenser01sackgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;Saige-Lacaille-Labande,_Trésor_des_chartes_du_comté_de_Rethel;Saige/Lacaille/Labande, Trésor des chartes du comté de Rethel;Trésor des chartes du comté de Rethel, ed. Gustave Saige, Henri Lacaille, Léon-Honoré Labande, 5 Bde., Monaco 1902–1916.;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;Saint-Denis,_Apogée_d’une_cité;Saint-Denis, Apogée d’une cité;Alain Saint-Denis, Apogée d’une cité. Laon et son pays aux XIIe et XIIIe siècles, Nancy 1994 (Histoire et archéologie médiévale).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Saint-Denis,_L’historien_et_la_cathédrale;Saint-Denis, L’historien et la cathédrale;Alain Saint-Denis, L’historien et la cathédrale. La datation des premières cathédrales: l’exemple de Laon, in: Patrick Corbet, Jackie Lusse (Hg.), Ex animo. Mélanges d’histoire médiévale offerts à Michel Bur, Langres 2009, S. 177–228.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
556;Saint-Denis,_L’Hôtel-Dieu_de_Laon;Saint-Denis, L’Hôtel-Dieu de Laon;Alain Saint-Denis, L’hôtel-Dieu de Laon: 1150–1300. Institution hospitalière et société aux XIIe et XIIIe siècles, Nancy 1983.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;Saint-Denis,_Les_miracles;Saint-Denis, Les miracles;Les miracles de sainte Marie de Laon. Hériman de Tournai, ed. Alain Saint-Denis, Paris 2008 (Sources d’histoire médiévale, 36).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Santifaller,_Saggio;Santifaller, Saggio;Leo Santifaller, Saggio di un Elenco dei funzionari, impiegati e scrittori della Cancellaria Pontificia dall’inizio all’anno 1099, Rom 1940 (Bulletino dell’Instituto storico italiano, 56,1–2). ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;de_Sars,_Le_Laonnois_féodal;de Sars, Le Laonnois féodal;Maxime de Sars, Le Laonnois féodal, 5 Bde., Paris 1924–1934.;;II;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;Sartoretto,_Treviso;Sartoretto, Treviso;Antonio Sartoretto, Antichi documenti della diocesi di Treviso 905–1199, Treviso 1979.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;Sayers,_Papal_Judges_Delegate;Sayers, Papal Judges Delegate;Jane Eleanor Sayers, Papal judges delegate in the province of Canterbury 1198–1254. A study in ecclesiastical jurisdiction and administration, London 1971.;;;;(X);X;https://archive.org/details/papaljudgesdeleg0000saye;;;;;;;;;;;;;;;;;;;;;;;;;Ausleihbar mit kostenlosem Konto (archive.org);;;;;;;;;;;;;;;
562;Schieffer,_Schriftverkehr;Schieffer, Schriftverkehr;Rudolf Schieffer, Zum Schriftverkehr zwischen Hinkmar von Reims und dem Papsttum, in: Sebastian Roebert, Antonella Ghignoli, Cornelia Neustadt u. a. (Hg.), Von der Ostsee zum Mittelmeer. Forschungen zur mittelalterlichen Geschichte für Wolfgang Huschner, Leipzig 2019 (Italia Regia, 4), S. 277–288.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;Schieffer,_Angelsachsen;Schieffer, Angelsachsen;Theodor Schieffer, Angelsachsen und Franken. Zwei Studien zur Kirchengeschichte des 8. Jahrhunderts, Wiesbaden 1951 (Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse. Akademie der Wissenschaften und der Literatur in Mainz, 1950, 20).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;Schieffer,_Legaten;Schieffer, Legaten;Theodor Schieffer, Die päpstlichen Legaten in Frankreich. Vom Vertrag von Meersen (870) bis zum Schisma von 1130, Berlin 1935 (Historische Studien, 263).;;;;(X);X;https://archive.org/details/diepapstlichenle0000schi/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;Ausleihbar mit kostenlosem Konto (archive.org) / DeGruyter;;;;;;;;;;;;;;;
565;Schilling,_Guido_von_Vienne;Schilling, Guido von Vienne;Beate Schilling, Guido von Vienne. Papst Calixt II., Hannover 1998 (MGH Schriften, 45).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;Schmale,_Friedrich_I.;Schmale, Friedrich I.;Franz-Josef Schmale, Friedrich I. und Ludwig VII. im Sommer des Jahres 1162, in: Zeitschrift für Bayerische Landesgeschichte 31 (1968), S. 315–368.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00009417-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;Schmale,_Otto_von_Freisingen_und_Rahewin, _Taten_Friedrichs;Schmale, Otto von Freisingen und Rahewin, Taten Friedrichs;Bischof Otto von Freisingen und Rahewin, Die Taten Friedrichs oder richtiger Cronica, ed. Franz-Josef Schmale (Ausgewählte Quellen zur deutschen Geshcichte des Mittelalters. Freiherr-vom-Stein-Gedächtnisausgabe, 17), Darmstadt 1965.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;Schmale,_Studien;Schmale, Studien;Franz-Josef Schmale, Studien zum Schisma des Jahres 1130, Köln 1961 (Forschungen zur kirchlichen Rechtsgeschichte und zum Kirchenrecht, 3).;;;;X;X;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00123606-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;Schmidt,_Urkundenbuch_Halberstadt;Schmidt, Urkundenbuch Halberstadt;Urkundenbuch des Hochstifts Halberstadt und seiner Bischöfe, ed. Karl Gustav Schmidt, 4 Bde., Leipzig 1883–1889 (Publikationen aus den königlich-preußischen Staatsarchiven, 17, 21, 27, 40).;;;;X;X;;;;;;https://archive.org/details/bub_gb_zk4OAAAAYAAJ/mode/2up;;;https://archive.org/details/bub_gb_bU8OAAAAYAAJ/mode/2up;https://archive.org/details/bub_gb_1k8OAAAAYAAJ/mode/2up;https://archive.org/details/bub_gb_afkUAAAAQAAJ/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;Schmitt,_S._Anselmi_Cantuariensis_archiepiscopi_opera_omnia;Schmitt, S. Anselmi Cantuariensis archiepiscopi opera omnia;S. Anselmi Cantuariensis archiepiscopi opera omnia, ed. Franciscus Salesius Schmitt, 6 Bde., Rom, Edinburgh 1938–1961.;;;;X;X;;;;;;https://archive.org/details/sanselmicantuari01anse;;;https://archive.org/details/sanselmicantuari02anse;https://archive.org/details/sanselmicantuari03anse;https://archive.org/details/sanselmicantuari04anse;https://archive.org/details/sanselmicantuari05anse;https://archive.org/details/sanselmicantuari06anse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Schmitz,_Heriveus;Schmitz, Heriveus;Gerhard Schmitz, Heriveus von Reims (900–922). Zur Geschichte des Erzbistums Reims am Beginn des 10. Jahrhunderts, in: Francia 6 (1978), S. 59–105.;;;;X;X;https://francia.digitale-sammlungen.de/Blatt_bsb00016281,00075.html;https://perspectivia.net/publikationen/francia/bsb00016281/francia-00006-1978-00075-00122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;Schmitz,_Konzil;Schmitz, Konzil;Gerhard Schmitz, Das Konzil von Trosly (909). Überlieferung und Quellen, in: Deutsches Archiv 33 (1977), S. 341–434.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858735_0033&DMDID=dmdlog32 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
573;Schmitz,_Appellatio_extraiudicalis;Schmitz, Appellatio extraiudicalis;Heribert Schmitz, Appellatio extraiudicalis. Entwicklungslinien einer kirchlichen Gerichtsbarkeit über die Verwaltung im Zeitalter der klassischen Kanonistik (1140–1348), München 1970 (Münchener Theologische Studien, 3,29).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Schneider,_Fulco;Schneider, Fulco;Gerhard Schneider, Erzbischof Fulco von Reims (883–900) und das Frankenreich, München 1973 (Münchener Beiträge zur Mediävistik und Renaissance-Forschung, 14). ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;Schramm,_König_von_Frankreich;Schramm, König von Frankreich;Percy Ernst Schramm, Der König von Frankreich. Das Wesen der Monarchie vom 9. zum 16. Jahrhundert, 2 Bde., 2. Aufl., Darmstadt 1960.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;Schreiber,_Kurie_und_Kloster;Schreiber, Kurie und Kloster;Georg Schreiber, Kurie und Kloster im 12. Jahrhundert: Studien zur Privilegierung, Verfassung und besonders zum Eigenkirchenwesen der vorfranziskanischen Orden vornehmlich auf Grund der Papsturkunden von Paschalis II. bis auf Lucius III. (1099–1181), 2 Bde., Stuttgart 1910 (Kirchenrechtliche Abhandlungen, 65–66).;;"I ; II";;X;X;;;;;;https://archive.org/details/kurieundkloster01schr/mode/2up;;;https://archive.org/details/kurieundklosteri00schr/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;Schröder,_Synoden;Schröder, Synoden;Isolde Schröder, Die westfränkischen Synoden von 888 bis 987 und ihre Überlieferung, München 1980 (MGH Hilfsmittel, 3).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Schrör,_Hinkmar_von_Reims;Schrör, Hinkmar von Reims;Hinkmar von Reims, De iure metropolitanorum, Studien und Edition, ed. Mathias Schrör, Köln 2020 (Libelli Rhenani, 80).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;Schrörs,_Hinkmar;Schrörs, Hinkmar;Heinrich Schrörs, Hinkmar, Erzbischof von Reims. Sein Leben und seine Schriften, Freiburg i. Br. 1884. ;;;;X;X;http://www.mgh-bibliothek.de/dokumente/b/b027250.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;Schumann,_Legaten;Schumann, Legaten;Otto Schumann, Die päpstlichen Legaten in Deutschland zur Zeit Heinrichs IV. und Heinrichs V. (1056–1125), Marburg a. d. Lahn 1912.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;Schütte,_Briefe_des_Abtes_Walo;Schütte, Briefe des Abtes Walo;Bernd Schütte, Die Briefe des Abtes Walo von St. Arnulf vor Metz, Hannover 1995 (MGH Studien und Texte, 10).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;Schwarz,_Investiturstreit;Schwarz, Investiturstreit;Willi Schwarz, Der Investiturstreit in Frankreich, in: Zeitschrift für Kirchengeschichte 42 (1923), S. 255–328.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;Schwerin,_Aufrufe;Schwerin, Aufrufe;Ursula Schwerin, Die Aufrufe der Päpste zur Befreiung des Heiligen Landes von den Anfängen bis zum Ausgang Innozenz IV.: ein Beitrag zur Geschichte der kurialen Kreuzzugspropaganda und der päpstlichen Epistolographie, Berlin 1937 (Historische Studien, 301).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;Sdralek,_Wolfenbüttler_Fragmente;Sdralek, Wolfenbüttler Fragmente;Maximilian Sdralek, Wolfenbüttler Fragmente. Analekten zur Kirchengeschichte des Mittelalters aus Wolfenbüttler Handschriften, Münster i. W. 1891 (Kirchengeschichtliche Studien, 1,2).;;;;X;X;http://www.mgh-bibliothek.de/dokumente/b/b026343.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;Serrure,_Cartulaire_de_Saint-Bavon;Serrure, Cartulaire de Saint-Bavon;Cartulaire de Saint Bavon à Gand, ed. Constant Philippe Serrure, o. O. 1836.;;;;(X);X;http://books.google.com/books?id=AVtbAAAAQAAJ ;;;;;;;;;;;;;;;;;;;;;;;;;Googlekonto erforderlich;;;;;;;;;;;;;;;
586;Siguret,_Étude_sur_la_correspondance;Siguret, Étude sur la correspondance;M. Siguret, Étude sur la correspondance diplomatique des papes avec les archevêques de Bourges, de Nicolas Ier à Innocent III, Châteauroux 1902.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
587;Singer,_Neue_Beiträge;Singer, Neue Beiträge;Heinrich Singer, Neue Beiträge über die Dekretalensammlungen vor und nach Bernhard von Pavia. Mit Benutzung der in Friedrich Maassens Nachlasse enthaltenen Vorarbeiten, Wien 1913 (Sitzungsberichte. Akademie der Wissenschaften in Wien, Philologisch-Historische Klasse, 171,1).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;Sirmond,_Concilia_Galliae;Sirmond, Concilia Galliae;Concilia antiqua Galliae, tres in tomos ordine digesta, ed. Jacques Sirmond, 4 Bde., Paris 1629–1666.;;III;;X;X;;;;;;;;;;http://gallica.bnf.fr/ark:/12148/bpt6k57643m ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;Sirmond,_Goffridi_abbatis_Vindocinensis_S._Priscae_cardinalis_opera;Sirmond, Goffridi abbatis Vindocinensis S. Priscae cardinalis opera;Goffridi abbatis Vindocinensis S. Priscae cardinalis opera, ed. Jacobus Sirmond, Paris 1610.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11297125-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;Sirmond,_Hincmari_opera;Sirmond, Hincmari opera;Hincmari archiepiscopi Remensis opera, ed. Jacques Sirmond, 2 Bde., Paris 1645.;;II;;X;X;;;;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10634907-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Sirmond,_Petri_abbatis_Cellensis_epistolarum_libri;Sirmond, Petri abbatis Cellensis epistolarum libri;Petri abbatis Cellensis epistolarum libri IX. Item Alexandri III. Papae ad Petrum eundem et alios epistolae LVI, ed. Jacques Sirmond, Paris 1613.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11297197-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;de_Smet,_Cartulaire_de_l’abbaye_de_Cambron;de Smet, Cartulaire de l’abbaye de Cambron;Cartulaire de l’abbaye de Cambron, ed. Joseph Jean de Smet, 2 Bde., Bruxelles 1869 (Monuments pour servir à l’histoire des provinces de Namur, de Hainaut et de Luxembourg, 2,1–2).;;I;;X;X;;;;;;https://archive.org/details/cartulairedelab01sain;;;https://archive.org/details/cartulairedelab02sain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Somerville,_Papal_excerpts;Somerville, Papal excerpts;Robert Somerville, Papal excerpts in Arsenal MS 713B: Alexander II and Urban II, in: Peter Landau, Jörg Müller (Hg.), Proceedings of the Ninth International Congress of Medieval Canon Law Munich, 13–18 July 1992, Vatikanstadt 1997 (Monumenta iuris canonici C/10), S. 169–184.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;Somerville,_Pope_Alexander_III;Somerville, Pope Alexander III;Robert Somerville, Pope Alexander III and the Council of Tours (1163). A Study of Ecclesiastical Politics and Institutions in the 12th Century, Berkeley, California 1977 (Publications of the Center for medieval and Renaissance studies, 12).;;;;(X);X;https://archive.org/details/popealexanderiii0000some;;;;;;;;;;;;;;;;;;;;;;;;;Ausleihbar mit kostenlosem Konto (archive.org);;;;;;;;;;;;;;;
595;Somerville,_Pope_Urban_II’s_Council_of_Piacenza;Somerville, Pope Urban II’s Council of Piacenza;Robert Somerville, Pope Urban II’s council of Piacenza, Oxford 2011.;;;;(X);X;https://academic.oup.com/book/26300?login=true;;;;;;;;;;;;;;;;;;;;;;;;;Zugriff ggf. über Institution;;;;;;;;;;;;;;;
596;Somerville,_Scotia_Pontificia;Somerville, Scotia Pontificia;Scotia Pontificia. Papal Letters to Scotland before the Pontificate of Innocent III, ed. Robert Somerville, Oxford 1982.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597;Somerville-Kuttner,_Pope_Urban_II;Somerville/Kuttner, Pope Urban II;Robert Somerville, Stephan Kuttner, Pope Urban II, the Collectio Britannica, and the Council of Melfi (1089), Oxford 1996.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;Sot,_Flodoard;Sot, Flodoard;Michel Sot, Un historien et son Église. Flodoard de Reims, Paris 1993. ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
599;Spätling,_Kardinallegat_Petrus;Spätling, Kardinallegat Petrus;Luchesius G. Spätling, Kardinallegat Petrus im Pontifikat Honorius II. (1124–1130), in: Antonianum 38 (1963), S. 162–192.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;Sproemberg,_Beiträge;Sproemberg, Beiträge;Heinrich Sproemberg (Hg.), Beiträge zur belgisch-niederländischen Geschichte, Berlin 1959 (Forschungen zur mittelalterlichen Geschichte, 3).;;;;(X);X;https://www.degruyter.com/document/doi/10.1515/9783112535967/html;;;;;;;;;;;;;;;;;;;;;;;;;Zugriff ggf. über Instittution (DeGruyter);;;;;;;;;;;;;;;
601;Stratmann,_Briefe;Stratmann, Briefe;Martina Stratmann, Briefe an Hinkmar von Reims, in: Deutsches Archiv 48 (1992), S. 37–81.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858735_0048&DMDID=dmdlog11 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
602;Stratmann,_Königs-_und_Privaturkunden;Stratmann, Königs- und Privaturkunden;Martina Stratmann, Die Königs- und Privaturkunden für die Reimser Kirche bis gegen 900, in: Deutsches Archiv 52 (1996), S. 1–55.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858735_0052&DMDID=dmdlog12;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
603;Strubbe-Voet,_Chronologie;Strubbe/Voet, Chronologie;Egied Idesbald Strubbe, Léon Voet, De chronologie van de middeleeuwen en de moderne tijden in de Nederlanden, Antwerpen, Amsterdam 1960.;;;;X;X;;http://commissionroyalehistoire.be/en/biblioNumerique/ouvragesDigitalises_en.html;;;;http://commissionroyalehistoire.be/pdf/L5ChronologieMiddeleeuwen_ModernTijdenNederlanden/pTitre_p200.pdf;;;http://commissionroyalehistoire.be/pdf/L5ChronologieMiddeleeuwen_ModernTijdenNederlanden/p201_TabelV_Pausen_p430_Stadhouders.pdf;http://commissionroyalehistoire.be/pdf/L5ChronologieMiddeleeuwen_ModernTijdenNederlanden/p431_pLijstAfkortingen.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;Stubbs,_Chronica;Stubbs, Chronica;Chronica magistri Rogeri de Houedene, ed. William Stubbs, 4 Bde., London 1868–1871.;;;;X;X;;;;;;https://archive.org/details/chronicamagistri01roge/mode/2up;;;https://gallica.bnf.fr/ark:/12148/bpt6k50282q ;https://archive.org/details/chronicamagistr01hovegoog/mode/2up;https://archive.org/details/chronicamagistri04roge/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
605;Stubbs,_Chronicle;Stubbs, Chronicle;Gesta regis Henrici secundi Benedicti abbatis. The Chronicle of the Reigns of Henry II. and Richard I. A. D. 1169–1192, known commonly under the Name of Benedict of Peterborough, ed. William Stubbs, 2 Bde., London 1867 (Rerum Britannicarum medii aevi Scriptores, 49,1–2).;;"I ; II";;X;X;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k502774;;;https://gallica.bnf.fr/ark:/12148/bpt6k50278g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
606;Stubbs,_Historical_Works;Stubbs, Historical Works;Radulfi de Diceto decani Lundoniensis opera historica. The Historical Works of Master Ralph de Diceto, Dean of London, ed. William Stubbs, 2 Bde., London 1876 (Rerum Britannicarum medii aevi scriptores, 68,1–2).;;;;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11332145-6;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11332146-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
607;Sudendorf,_Registrum;Sudendorf, Registrum;Registrum oder merkwürdige Urkunden für die deutsche Geschichte, ed. Hans Friedrich Georg Julius Sudendorf, 3 Bde., Jena 1849–1854.;;I;;X;X;;;;;;http://www.archive.org/details/registrumoderme00sudegoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
608;Suhm,_Historie_af_Danmark;Suhm, Historie af Danmark;Peter Frederik Suhm, Historie af Danmark, 14 Bde., Kopenhagen 1782–1828.;;8;;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361594-8;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361595-3;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361596-9;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361597-4;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361598-0;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361599-9;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361600-9;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10361601-4;;;;;;;;;;;;;;;;;;;;;;;;
609;Tangl,_Bonifatius-Briefe_II;Tangl, Bonifatius-Briefe II;Michael Tangl, Studien zur Neuausgabe der Bonifatius-Briefe, Tl. 2, in: Neues Archiv 41 (1919), S. 23–101.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0041&DMDID=dmdlog10;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
610;Tangl,_Kanzleiordnungen;Tangl, Kanzleiordnungen;Die päpstlichen Kanzleiordnungen von 1200–1500, ed. Michael Tangl, Innsbruck 1894.;;;;X;X;http://www.archive.org/details/dieppstlichenka00aposgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;Tanner,_Decrees;Tanner, Decrees;Decrees of the Ecumenical Councils, ed. Norman P. Tanner, 2 Bde., London 1990.;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
612;Tardif,_Monuments;Tardif, Monuments;Monuments historiques. Cartons de rois, ed. Jules Tardif, Paris 1866 (Inventaires et documents publiés par ordre de l’Empereur).;;;;X;X;http://books.google.com/books?id=9-oM-n3meYsC ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613;Teske,_Briefsammlungen;Teske, Briefsammlungen;Gunnar Teske, Die Briefsammlungen des 12. Jahrhunderts in St. Viktor/Paris. Entstehung, Überlieferung und Bedeutung für die Geschichte der Abtei, 2 Bde., Bonn 1993 (Studien und Dokumente zur Gallia Pontificia, 2).;;;;X;X;https://perspectivia.net/publikationen/gallia-pontificia/teske_briefsammlungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;Tessier,_Recueil_Charles_II_le_Chauve;Tessier, Recueil Charles II le Chauve;Recueil des actes de Charles II le Chauve, roi de France (840–877), ed. Georges Tessier, 3 Bde., Paris 1943–1955 (Chartes et diplômes relatifs à l’histoire de France).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
615;Teubner-Schoebel,_Bernhard_von_Clairvaux;Teubner-Schoebel, Bernhard von Clairvaux;Sabine Teubner-Schoebel, Bernhard von Clairvaux als Vermittler an der Kurie. Eine Auswertung seiner Briefsammlung, Bonn 1993 (Studien und Dokumente zur Gallia Pontificia, 3).;;;;X;X;https://perspectivia.net/publikationen/gallia-pontificia/teubner-schoebel_bernhard-von-clairvaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;Theiner,_Disquisitiones_criticae;Theiner, Disquisitiones criticae;Disquisitiones criticae in praecipuas canonum et decretalium collectiones seu sylloges Gallabdianae continuatio, ed. Augustinus Theiner, Rom 1836.;;;;X;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10506736-7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;Thumser,_Die_Frangipane;Thumser, Die Frangipane;Matthias Thumser, Die Frangipane. Abriß der Geschichte einer Adelsfamilie im hochmittelalterlichen Rom, in: Quellen und Forschungen aus italienischen Archiven und Bibliotheken 71 (1991), S. 106–163.;;;;X;X;https://perspectivia.net/publikationen/qfiab/71-1991/0106-0163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
618;Tillmann,_Die_päpstlichen_Legaten_in_England;Tillmann, Die päpstlichen Legaten in England;Helene Tillmann, Die päpstlichen Legaten in England bis zur Beendigung der Legation Gualas (1218), Bonn 1926.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;Tock,_Les_chartes_des_évêques_d’Arras;Tock, Les chartes des évêques d’Arras;Les chartes des évêques d’Arras (1093–1203), ed. Benoît-Michel Tock, Paris 1991 (Collection de documents inédits sur l’histoire de France. Série in -8°, 20).;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k6244417p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;Tock,_Les_élections;Tock, Les élections;Benoît-Michel Tock, Les élections épiscopales à Arras de Lambert à Pierre Ier (1093–1203), in: Revue belge de philologie et d’histoire 65 (1987), S. 709–721.;;;;X;X;https://www.persee.fr/doc/rbph_0035-0818_1987_num_65_4_3602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;Tock,_Monumenta_Arroasiensia;Tock, Monumenta Arroasiensia;Monumenta Arroasiensia. Textes narratifs et diplomatiques de l’abbaye d’Arrouaise, ed. Benoît-Michel Tock, Turnhout 2000 (Corpus Christianorum. Continuatio mediaevalis, 175).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
