key;Kurztitel;Kurztitel der Editionen;Geschichtsquellen.de;Arlima.net;Quellen;Langtitel;Bde.;Verlinkt;Link;Band I;Band II;Band III;Band IV;Band V;Band VI
Ott,_Clerical_Networks;Ott, Clerical Networks;;;;;John Stephens Ott, Clerical Networks and Canon Law. The Beauvais Election Controversy of 1100–04, in: Christof Rolker (Hg.), New Discourses in Medieval Canon Law Research. Challenging the Master Narrative, Leiden u. a. 2019 (Medieval Law and Its Practice, 28), S. 58–81.;;;;;;;;;
Pacaut,_Alexandre_III;Pacaut, Alexandre III;;;;;Marcel Pacaut, Alexandre III. Étude sur la conception du pouvoir pontifical dans sa pensée et dans son œuvre, Paris 1956 (L’Église et l’état au Moyen Âge, 11).;;;;;;;;;
Parisot,_Royaume;Parisot, Royaume;;;;;Robert Parisot, Le royaume de Lorraine sous les Carolingiens (843–923), Paris 1898.;;;;;;;;;
Parisse,_Bullaire_de_la_Lorraine;Parisse, Bullaire de la Lorraine;;;;;Michel Parisse, Bullaire de la Lorraine (jusqu’en 1198), in: Annulaire de la Société d’histoire et d’archéologie de la Lorraine 69 (1969), S. 1–98.;;;;;;;;;
Pavloff,_Papal_Judge_Delegates;Pavloff, Papal Judge Delegates;;;;;George G. Pavloff, Papal judge delegates at the time of the Corpus iuris canonici, Washington, DC 1963 (Canon law studies, 426).;;;;;;;;;
Péchenard,_Histoire_de_l’Abbaye_d’Igny;Péchenard, Histoire de l’Abbaye d’Igny;;;;;Louis-Pierre Péchenard, Histoire de l’Abbaye d’Igny, de l’Ordre de Citeaux, au diocèse de Reims, Reims 1883.;;;https://archive.org/details/histoiredelabbay00pc;;;;;;
Péchenard,_Histoire_Gespunsart;Péchenard, Histoire Gespunsart;;;;;Pierre-Louis Péchenard, Histoire de Gespunsart, Charleville 1877.;;;;;;;;;
Peltzer,_Canon_Law,_Careers_and_Conquest;Peltzer, Canon Law, Careers and Conquest;;;;;Jörg Henning Peltzer, Canon Law, Careers, and Conquest. Episcopal Elections in Normandy and Greater Anjou between c. 1140 and c. 1230, Cambridge 2008 (Cambridge studies in medieval life and thought, 4,71).;;;;;;;;;
Pennington,_Epistolae_Alexandrinae;Pennington, Epistolae Alexandrinae;;;;;Kenneth Pennington, »Epistolae Alexandrinae«. A collection of Pope Alexander III’s letters, in: Filippo Liotta (Hg.), Miscellanea Rolando Bandinelli Papa Alessandro III. Studi, Siena 1986, S. 337–353.;;;;;;;;;
Perels,_Denkschrift;Perels, Denkschrift;;;;;Ernst Perels, Eine Denkschrift Hinkmars von Reims im Prozeß Rothads von Soissons, in: Neues Archiv 44 (1922), S. 43–100.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0044&DMDID=dmdlog9 ;;;;;;
Perels,_Nikolaus;Perels, Nikolaus;;;;;Ernst Perels, Papst Nikolaus I. im Streit zwischen Le Mans und St. Calais, in: Albert Brackmann (Hg.), Papsttum und Kaisertum. Forschungen zur politischen Geschichte und Geisteskultur des Mittelalters. Paul Kehr zum 65. Geburtstag, München 1926, S. 146–162.;;;;;;;;;
Perels,_Nikolaus_I._und_Anastasius;Perels, Nikolaus I. und Anastasius;;;;;Ernst Perels, Papst Nikolaus I. und Anastasius Bibliothecarius. Ein Beitrag zur Geschichte des Papsttums im 9. Jahrhundert, Berlin 1920. ;;;http://www.archive.org/details/MN42003ucmf_4 ;;;;;;
Peters,_Gründung_St._Peter;Peters, Gründung St. Peter;;;;;Wolfgang Peters, Zur Gründung und frühen Geschichte des Benediktinerpriorates St. Peter in Bouillon, in: Revue bénédictine 109 (1999), S. 341–358.;;;;;;;;;
Petersohn,_Kaiser,_Papst_und_Praefectura_Urbis;Petersohn, Kaiser, Papst und Praefectura Urbis;;;;;Jürgen Petersohn, Kaiser, Papst und Praefectura urbis zwischen Alexander III. und Innozenz III. Probleme der Besatzung und Chronologie der römischen Präfektur im letzten Viertel des 12. Jahrhunderts, in: Quellen und Forschungen aus italienischen Archiven und Bibliotheken 60 (1980), S. 157–188.;;;http://www.perspectivia.net/publikationen/qfiab ;;;;;;
Pez,_Thesaurus_anecdotorum;Pez, Thesaurus anecdotorum;;;;;Thesaurus ancdotorum novissimus, ed. Bernhard Pez, 6 Bde., Augsburg 1721–1729.;6,1;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10798863-5 ;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10798884-1 ;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10798913-0;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10798935-2;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10798938-9;
;;;;;;;;;;;;;;;
Pfister,_Robert_le_Pieux;Pfister, Robert le Pieux;;;;;Christian Pfister, Études sur le règne de Robert le Pieux, 996–1031, Paris 1885 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 64).;(Seitenzahlen in Römisch ?);;;;;;;;
von_Pflugk-Harttung,_Acta_pontificum_Romanorum_inedita;von Pflugk-Harttung, Acta pontificum Romanorum inedita;;;;;Acta pontificum Romanorum inedita. Urkunden der Päpste, ed. Julius von Pflugk-Harttung, 3 Bde., Tübingen 1881–1888.;"I ; II";;;;;;;;
von_Pflugk-Harttung,_Beiträge;von Pflugk-Harttung, Beiträge;;;;;Julius von Pflugk-Harttung, Diplomatische Beiträge. 1. Gefälschte Papsturkunden. 2. Über Schein-Originalurkunden, in: Forschungen zur deutschen Geschichte 21 (1881), S. 229–238.;;;;;;;;;
von_Pflugk-Harttung,_Originalurkunden;von Pflugk-Harttung, Originalurkunden;;;;;Julius von Pflugk-Harttung, Päpstliche Originalurkunden und Scheinoriginale, in: Historisches Jahrbuch 5 (1884), S. 489–575.;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN385984421_0005&DMDID=dmdlog92 ;;;;;;
Pitz,_Papstreskript_und_Kaiserreskript;Pitz, Papstreskript und Kaiserreskript;;;;;Ernst Pitz, Papstreskript und Kaiserreskript im Mittelalter, Tübingen 1971 (Bibliothek des Deutschen Historischen Instituts in Rom, 36).;;;;;;;;;
Plechl-Bergmann,_Tegernseer_Briefsammlung;Plechl/Bergmann, Tegernseer Briefsammlung;;;;;Die Tegernseer Briefsammlung des 12. Jahrhunderts, ed. Werner Bergmann, Helmut Plechl, Hannover 2002 (MGH Briefe der deutschen Kaiserzeit, 8).;;;https://www.dmgh.de/mgh_briefe_d_dt_kaiserzeit_8 ;;;;;;
Poirier-Coutansais,_Gallia_monastica_I;Poirier-Coutansais, Gallia monastica I;;;;;Françoise Poirier-Coutansais, Les abbayes bénédictines du diocèse de Reims, Paris 1974 (Gallia monastica. Tableaux et cartes de dépendances monastiques, 1).;;;;;;;;;
Pokorny,_Brieffragment;Pokorny, Brieffragment;;;;;Rudolf Pokorny, Ein unerkanntes Brieffragment Argrins von Lyon-Langres aus den Jahren 894/95 und zwei umstrittene Bischofsweihen in der Kirchenprovinz Lyon, in: Francia 13 (1985), S. 602–622.;;;https://perspectivia.net/publikationen/francia/bsb00016288/francia-00013-1985-00618-00638 ;;;;;;
Polock,_Der_Prozess_von_1194;Polock, Der Prozess von 1194;;;;;Marlene Polock, Der Prozess von 1194 zwischen Orvieto und Savona um das Val di Lago. Mit Editionen der Akten und der Bischofsliste von Savona bis zum Ende des 12. Jahrhunderts, in: Quellen und Forschungen aus italienischen Archiven und Bibliotheken 70 (1990), S. 46–150.;;;http://www.perspectivia.net/publikationen/qfiab ;;;;;;
Pontal,_Conciles_de_la_France_capétienne;Pontal, Conciles de la France capétienne;;;;;Odette Pontal, Les conciles de la France capétienne jusqu’en 1215, Paris 1995 (Histoire).;;;;;;;;;
Potthast;Potthast;;;;;Regesta pontificum Romanorum inde ab a. post Christum natum 1198 ad a, 1304, ed.August Potthast, 2 Bde., Berlin 1874–1875.;;;;;;;;;
Poupardin,_Royaume;Poupardin, Royaume;;;;;René Poupardin, Le Royaume de Provence sous les Carolingiens 855–933, Paris 1901 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 131).;;;https://archive.org/details/leroyaumedeprove00poupuoft ;;;;;;
Preiss,_Die_politische_Tätigkeit;Preiss, Die politische Tätigkeit;;;;;Martin Preiss, Die politische Tätigkeit und Stellung der Cisterzienser im Schisma von 1159–1177, Berlin 1935 (Historische Studien, 248).;;;;;;;;;
Prou,_Recueil_des_actes_de_Philippe_Ier;Prou, Recueil des actes de Philippe Ier;;;;;Recueil des actes de Philippe Ier (1059–1108), ed. Maurice Prou, Paris 1908 (Chartes et diplômes relartifs à l’histoire de France, 1).;;;https://gallica.bnf.fr/ark:/12148/bpt6k114540f ;;;;;;
Prou-Vidier,_Recueil_Saint-Benoît-sur-Loire;Prou/Vidier, Recueil Saint-Benoît-sur-Loire;;;;;Recueil des chartes de l’abbaye de Saint-Benoît-sur-Loire, ed. Maurice Prou, Alexandre Vidier, 2 Bde., Paris 1900–1907 (Documents publiés par la Société historique et archéologique du Gâtinais, 5).;"I ; II ; II,1";;http://www.archive.org/details/recueildeschart00abbgoog ;;;;;;
Pycke,_Le_chapitre;Pycke, Le chapitre;;;;;Jacques Pycke, Le chapitre cathédral Notre-Dame de Tournai de la fin du XIe à la fin du XIIIe siècle: son organisation, sa vie, ses membres, Louvain-la-Neuve 1986 (Recueil de travaux d’histoire et de philologie, 6,30).;;;;;;;;;
Pycke,_Répertoire;Pycke, Répertoire;;;;;Jacques Pycke, Répertoire biographique des chanoines de Notre-Dame de Tournai 1080–1300, Louvain-la-Neuve 1988 (Recueil de travaux d’histoire et de philologie, 6,35).;;;;;;;;;
Quantin,_Cartulaire_général_de_l’Yonne;Quantin, Cartulaire général de l’Yonne;;;;;Cartulaire général de l’Yonne. Recueil de documents authentiques pour servir à l’histoire des pays qui forment ce département, ed. Maximilien Quantin, 3 Bde., Auxerre 1854–1873.;II;;http://gallica.bnf.fr/ark:/12148/bpt6k56138576.r=.langFR ;;;;;;
Rabikauskas,_Diplomatica;Rabikauskas, Diplomatica;;;;;Paulius Rabikauskas, Diplomatica pontificia, Rom 51994.;;;;;;;;;
Raine,_The_Historians_of_the_Church_of_York;Raine, The Historians of the Church of York;;;;;The Historians of the Church of York and its Archbishops, ed. James Raine, 3 Bde., London 1879–1894 (Rerum Britannicarum medii aevi scriptores, 71).;II;;;;;;;;
Ramackers,_Kassation;Ramackers, Kassation;;;;;Johannes Ramackers, Eine Kassation von Papstbriefen unter Lucius III. (1185), in: Historisches Jahrbuch 55 (1935), S. 547–551.;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN385984421_0055&DMDID=dmdlog47 ;;;;;;
Ramackers,_Papsturkunden_in_den_Niederlanden;Ramackers, Papsturkunden in den Niederlanden;;;;;Papsturkunden in den Niederlanden (Belgien, Luxemburg, Holland und Französisch-Flandern), ed. Johannes Ramackers, Göttingen 1933–1934 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3,8–9).;;;;;;;;;
Ramackers,_Papsturkunden_in_Frankreich_N._F._2;Ramackers, Papsturkunden in Frankreich N. F. 2;;;;;Papsturkunden in Frankreich. N. F. 2: Normandie, ed. Johannes Ramackers, Göttingen 1937 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 21).;;;;;;;;;
Ramackers,_Papsturkunden_in_Frankreich_N._F._3;Ramackers, Papsturkunden in Frankreich N. F. 3;;;;;Papsturkunden in Frankreich. N. F. 3: Artois, ed. Johannes Ramackers, Göttingen 1940 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 23).;;;;;;;;;
Ramackers,_Papsturkunden_in_Frankreich_N._F._4;Ramackers, Papsturkunden in Frankreich N. F. 4;;;;;Papsturkunden in Frankreich. N. F. 4: Picardie, ed. Johannes Ramackers, Göttingen 1942 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 3,27).;;;;;;;;;
Ramackers,_Papsturkunden_in_Frankreich_N._F._5;Ramackers, Papsturkunden in Frankreich N. F. 5;;;;;Papsturkunden in Frankreich. N. F. 5: Touraine, Anjou, Maine und Bretagne, ed. Johannes Ramackers, Göttingen 1956 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 35).;;;;;;;;;
Ramackers,_Papsturkunden_in_Frankreich_N._F._6;Ramackers, Papsturkunden in Frankreich N. F. 6;;;;;Papsturkunden in Frankreich. N. F. 6: Orléanais, ed. Johannes Ramackers, Göttingen 1958 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 41).;;;;;;;;;
Ranalli,_Epistolario;Ranalli, Epistolario;;;;;Sara Ranalli, L’epistolario di Papa Ormisda, nel quadro della letteratura latina christiana del VI secolo, in: Studi e materiali di storia delle religioni 61 (1995), S. 19–54.;;;;;;;;;
Ransford,_Early_Charters_Waltham;Ransford, Early Charters Waltham;;;;;The Early Charters of the Augustinian canions of Waltham Abbey, Essex, 1062–1230, ed. Rosalind Ransford, Woodbridge 1989 (Studies in the history of medieval religion, 2).;;;;;;;;;
Ravaux,_Les_évêques_de_Châlons-sur-Marne;Ravaux, Les évêques de Châlons-sur-Marne;;;;;Jean-Pierre Ravaux, Les Evêques de Châlons-sur-Marne des origines à 1789, Châlons-sur-Marne 1983.;;;;;;;;;
Reg._Dauph._I;Reg. Dauph. I;;;;;Regeste Dauphinois, ou Répertoire chronologique et analytique des documents imprimés et manuscrits relatifs à l’histoire du Dauphiné, des origines chrétiennes à l’année 1349, ed. Ulysse Chevalier, Bd, 1,1–3, Valence 1913.;;;https://gallica.bnf.fr/ark:/12148/bpt6k5754452d/f9.item ;;;;;;
Regesta_diplomatica_historiae_Danicae_1,1;Regesta diplomatica historiae Danicae 1,1;;;;;Regesta diplomatica historiae Danicae. Index chronologicus diplomatum et literarum, historiam Danicam inde ab antiquissimis temporibus usque ad annum 1660 illustrantium, quae in libris hactenus editis vulgata sunt, ed. Societas Regia Scientiarium Danicarum, Serie 1, Teil 1: Ab anno DCCCXXII ad annum MDXXXVI, Kopenhagen 1847.;;;https://books.google.de/books?id=F2NaAAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;;;;;;
Rennie,_Law;Rennie, Law;;;;;Kriston Rennie, Law and Practice in the Age of Reform: the Legatine Work of Hugh of Die (1073–1106), Turnhout 2010 (Medieval Church Studies, 17).;;;;;;;;;
Resnick,_Odo_of_Cambrai;Resnick, Odo of Cambrai;;;;;Irven M. Resnick, Odo of Cambrai and the Investiture Crisis in the Early Twelfth Century, in: Viator. Medieval and Renaissance Studies 28 (1997), S. 83–98.;;;;;;;;;
Reuling,_Kur;Reuling, Kur;;;;;Ulrich Reuling, Die Kur in Deutschland und Frankreich. Untersuchungen zur Entwicklung des rechtsförmlichen Wahlaktes bei der Königserhebung im 11. und 12. Jahrhundert, Göttingen 1979 (Veröffentlichungen des Max-Planck-Instituts für Geschichte, 64).;;;;;;;;;
Reuter,_Anerkennung;Reuter, Anerkennung;;;;;Timothy Reuter, Zur Anerkennung Papst Innocenz’ II. Eine neue Quelle, in: Deutsches Archiv 39 (1983), S. 395–416.;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN345858735_0039&DMDID=dmdlog34 ;;;;;;
Reuter,_Geschichte_Alexanders_des_Dritten;Reuter, Geschichte Alexanders des Dritten;;;;;Hermann Reuter, Geschichte Alexanders des Dritten und der Kirche seiner Zeit, 3 Bde., Berlin 1860–1864.;"II ; III";;http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/3256985 ;;;;;;
Reuter,_The_Papal_Schism;Reuter, The Papal Schism;;;;;Timothy Reuter, The Papal Schism, the Empire and the West 1159–1169, Oxford 1975.;;;;;;;;;
RHF;RHF;;;;;Recueil des historiens des Gaules et de la France, ed. Martin Bouquet, Michel-Jean-Joseph Brial, Joseph Naudet, 24 Bde., Paris 1738–1904.;;;https://gallica.bnf.fr/ark:/12148/bpt6k6258414z ;;;;;;
Riché-Callu,_Gerbert_d’Aurillac,_Correspondance;Riché/Callu, Gerbert d’Aurillac, Correspondance;;;;;Gerbert d’Aurillac, Correspondance, Bd. 1: Lettres 1 à 129, Bd. 2: Lettres 130 à 220, ed. Pierre Riché, Jean-Pierre Callu, Paris 1993 (Les classiques de l’histoire de France au Moyen Âge, 35–36).;II;;;;;;;;
Robert,_Bullaire;Robert, Bullaire;;;;;Bullaire du pape Calixte II, ed. Ulysse Robert, 2 Bde., Paris 1891.;"I ; II";;;;;;;;
Robert,_Étude;Robert, Étude;;;;;Ulysse Robert, Étude sur les actes du pape Calixte II, Paris 1874.;Anhang;;;;;;;;
Robert,_Documents_sur_la_prévôté_de_Louvemont;Robert, Documents sur la prévôté de Louvemont;;;;;Gaston Robert, Documents sur la prévôté de Louvemont, in: Nouvelle revue de Champagne et de Brie 1 (1914), S. 41–69.;;;http://gallica.bnf.fr/ark:/12148/cb32826227g/date.r ;;;;;;
Robertson,_Materials_for_the_History_of_Thomas_Becket_5;Robertson, Materials for the History of Thomas Becket 5;;;;;Materials for the History of Thomas Becket, archbishop of Canterbury (canonized by pope Alexander III., A. D. 1173), ed. James Craigie Robertson, Bd. 5, London 1881 (Rerum Britannicarum medii aevi scriptores, 67).;;;https://archive.org/details/materialsforhist05robe ;;;;;;
Robertson,_Materials_for_the_History_of_Thomas_Becket_6;Robertson, Materials for the History of Thomas Becket 6;;;;;Materials for the History of Thomas Becket, archbishop of Canterbury (canonized by pope Alexander III., A. D. 1173), ed. James Craigie Robertson, Bd. 6, London 1882 (Rerum Britannicarum medii aevi scriptores, 67).;;;https://archive.org/details/materialsforhist06robe ;;;;;;
Robertson-Sheppard,_Materials_for_the_History_of_Thomas_Becket_7;Robertson/Sheppard, Materials for the History of Thomas Becket 7;;;;;Materials for the History of Thomas Becket, archbishop of Canterbury (canonized by pope Alexander III., A. D. 1173), ed. James Craigie Robertson, Bd. 7, London 1882 (Rerum Britannicarum medii aevi scriptores, 67).;;;https://archive.org/details/materialsforhist07robe ;;;;;;
Röhricht,_Regesta_regni_Hierosolymnitani;Röhricht, Regesta regni Hierosolymnitani;;;;;Regesta regni Hierosolymitani, 1097–1291, comp. Additamentum 1904, ed. Reinhold Röhricht, Innsbruck 1893–1904.;;;http://www.archive.org/details/registaregnihier00rhuoft ;;;;;;
Rolker-Schawe,_Das_Gutachten_Ivos_von_Chartres;Rolker/Schawe, Das Gutachten Ivos von Chartres;;;;;Christof Rolker, Marcel Schawe, Das Gutachten Ivos von Chartres zur Krönung König Ludwigs VI. Quellenstudium und Edition von Epistola 189, in: Francia 34,1 (2007), S. 147–157.;;;https://perspectivia.net/publikationen/francia/34-1-2007/0147-0157 ;;;;;;
Roserot,_Répertoire_historique;Roserot, Répertoire historique;;;;;Alphonse Roserot, Répertoire historique de la Haute-Marne. Bibliographie et documents imprimés, Paris 1901.;;;;;;;;;
Roumy,_Complementum_justitiae_exhibere;Roumy, Complementum justitiae exhibere;;;;;Franck Roumy, Complementum justitiae exhibere. La fortune d’une clause de chancellerie pontificale aux XIIe et XIIIe siècle, in: Yves Mausen (Hg.), Der Einfluss der Kanonistik auf die europäische Rechtskultur. 4. Prozessrecht, Köln 2014 (Norm und Struktur, 37,4), S. 231–252.;;;;;;;;;
Jogues_Rousseau,_Fulcoii_Belvacensis_Vtriusque_de_Nuptiis_Christi;Jogues Rousseau, Fulcoii Belvacensis Vtriusque de Nuptiis Christi;;;;;Fulcoii Beluacensis Vtriusque de Nuptiis Christi et Ecclesiae Libri Septem, ed. Mary Isaac Jogues Rousseau, Washington 1960 (Studies in Medieval and Renaissance Latin Language and Literature, 22).;;;;;;;;;
Rousseau,_Henri_l’Aveugle;Rousseau, Henri l’Aveugle;;;;;Félix Rousseau, Henri l‘Aveugle, comte de Namur et de Luxembourg, 1136–1196, Liège 1921.;;;;;;;;;
Roze,_Nécrologe_de_l’Église_d’Amiens;Roze, Nécrologe de l’Église d’Amiens;;;;;Nécrologe de l’Église d’Amiens, ed. Jean-Baptiste-Marie Roze, Amiens 1885 (Mémoires de la Société des Antiquaires de Picardie, 28).;;;;;;;;;
Ruinart,_Ouvrages_posthumes_de_D._Jean_Mabillon;Ruinart, Ouvrages posthumes de D. Jean Mabillon;;;;;Ouvrages posthumes de Jean Mabillon et de Thierri Ruinart, ed. Thierry Ruinart, 3 Bde., Paris 1724.;III;;;;;;;;
Sackur,_Cluniacenser;Sackur, Cluniacenser;;;;;Ernst Sackur, Die Cluniacenser in ihrer kirchlichen und allgemeingeschichtlichen Wirksamkeit bis zur Mitte des 11. Jahrhunderts, 2 Bde., Halle a. d. Saale 1892–1894. ;I;;http://www.archive.org/details/diecluniacenser01sackgoog ;;;;;;
Saige-Lacaille-Labande,_Trésor_des_chartes_du_comté_de_Rethel;Saige/Lacaille/Labande, Trésor des chartes du comté de Rethel;;;;;Trésor des chartes du comté de Rethel, ed. Gustave Saige, Henri Lacaille, Léon-Honoré Labande, 5 Bde., Monaco 1902–1916.;I;;;;;;;;
Saint-Denis,_Apogée_d’une_cité;Saint-Denis, Apogée d’une cité;;;;;Alain Saint-Denis, Apogée d’une cité. Laon et son pays aux XIIe et XIIIe siècles, Nancy 1994 (Histoire et archéologie médiévale).;;;;;;;;;
Saint-Denis,_L’historien_et_la_cathédrale;Saint-Denis, L’historien et la cathédrale;;;;;Alain Saint-Denis, L’historien et la cathédrale. La datation des premières cathédrales: l’exemple de Laon, in: Patrick Corbet, Jackie Lusse (Hg.), Ex animo. Mélanges d’histoire médiévale offerts à Michel Bur, Langres 2009, S. 177–228.;;;;;;;;;
Saint-Denis,_L’Hôtel-Dieu_de_Laon;Saint-Denis, L’Hôtel-Dieu de Laon;;;;;Alain Saint-Denis, L’hôtel-Dieu de Laon: 1150–1300. Institution hospitalière et société aux XIIe et XIIIe siècles, Nancy 1983.;;;;;;;;;
Saint-Denis,_Les_miracles;Saint-Denis, Les miracles;;;;;Les miracles de sainte Marie de Laon. Hériman de Tournai, ed. Alain Saint-Denis, Paris 2008 (Sources d’histoire médiévale, 36).;;;;;;;;;
Sanderus,_Flandria_illustrata;Sanderus, Flandria illustrata;;;;;Antonius Sanderius, Flandria illustrata, sive Descriptio comitatus istius per totum terrarum orbem celeberrimi, 2 Bde., Köln 1641–1644.;II;; ;https://bibliotheque-numerique.inha.fr/collection/item/12455-flandria-illustrata-tome-1?offset=2;https://bibliotheque-numerique.inha.fr/collection/item/12458-flandria-illustrata-tome-2?offset=1;;;;
Santifaller,_Saggio;Santifaller, Saggio;;;;;Leo Santifaller, Saggio di un Elenco dei funzionari, impiegati e scrittori della Cancellaria Pontificia dall’inizio all’anno 1099, Rom 1940 (Bulletino dell’Instituto storico italiano, 56,1–2). ;;;;;;;;;
de_Sars,_Le_Laonnois_féodal;de Sars, Le Laonnois féodal;;;;;Maxime de Sars, Le Laonnois féodal, 5 Bde., Paris 1924–1934.;II;;;;;;;;
Sartoretto,_Treviso;Sartoretto, Treviso;;;;;Antonio Sartoretto, Antichi documenti della diocesi di Treviso 905–1199, Treviso 1979.;;;;;;;;;
Schieffer,_Schriftverkehr;Schieffer, Schriftverkehr;;;;;Rudolf Schieffer, Zum Schriftverkehr zwischen Hinkmar von Reims und dem Papsttum, in: Sebastian Roebert, Antonella Ghignoli, Cornelia Neustadt u. a. (Hg.), Von der Ostsee zum Mittelmeer. Forschungen zur mittelalterlichen Geschichte für Wolfgang Huschner, Leipzig 2019 (Italia Regia, 4), S. 277–288.;;;;;;;;;
Schieffer,_Angelsachsen;Schieffer, Angelsachsen;;;;;Theodor Schieffer, Angelsachsen und Franken. Zwei Studien zur Kirchengeschichte des 8. Jahrhunderts, Wiesbaden 1951 (Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse. Akademie der Wissenschaften und der Literatur in Mainz, 1950, 20).;;;;;;;;;
Schieffer,_Legaten;Schieffer, Legaten;;;;;Theodor Schieffer, Die päpstlichen Legaten in Frankreich. Vom Vertrag von Meersen (870) bis zum Schisma von 1130, Berlin 1935 (Historische Studien, 263).;;;;;;;;;
Schilling,_Guido_von_Vienne;Schilling, Guido von Vienne;;;;;Beate Schilling, Guido von Vienne. Papst Calixt II., Hannover 1998 (MGH Schriften, 45).;;;;;;;;;
Schmale,_Friedrich_I.;Schmale, Friedrich I.;;;;;Franz-Josef Schmale, Friedrich I. und Ludwig VII. im Sommer des Jahres 1162, in: Zeitschrift für Bayerische Landesgeschichte 31 (1968), S. 315–368.;;;http://periodika.digitale-sammlungen.de/zblg/kapitel/zblg31_kap15 ;;;;;;
Schmale,_Otto_von_Freisingen_und_Rahewin, _Taten_Friedrichs;Schmale, Otto von Freisingen und Rahewin, Taten Friedrichs;;;;;Bischof Otto von Freisingen und Rahewin, Die Taten Friedrichs oder richtiger Cronica, ed. Franz-Josef Schmale (Ausgewählte Quellen zur deutschen Geshcichte des Mittelalters. Freiherr-vom-Stein-Gedächtnisausgabe, 17), Darmstadt 1965.;;;;;;;;;
Schmale,_Studien;Schmale, Studien;;;;;Franz-Josef Schmale, Studien zum Schisma des Jahres 1130, Köln 1961 (Forschungen zur kirchlichen Rechtsgeschichte und zum Kirchenrecht, 3).;;;;;;;;;
Schmidt,_Urkundenbuch_Halberstadt;Schmidt, Urkundenbuch Halberstadt;;;;;Urkundenbuch des Hochstifts Halberstadt und seiner Bischöfe, ed. Karl Gustav Schmidt, 4 Bde., Leipzig 1883–1889 (Publikationen aus den königlich-preußischen Staatsarchiven, 17, 21, 27, 40).;;;;;;;;;
Schmitt,_S._Anselmi_Cantuariensis_archiepiscopi_opera_omnia_III;Schmitt, S. Anselmi Cantuariensis archiepiscopi opera omnia III;;;;;S. Anselmi Cantuariensis archiepiscopi opera omnia, Bd. 3, ed. Franciscus Salesius Schmitt, Rom, Edinburgh 1947.;;;;;;;;;
Schmitz,_Heriveus;Schmitz, Heriveus;;;;;Gerhard Schmitz, Heriveus von Reims (900–922). Zur Geschichte des Erzbistums Reims am Beginn des 10. Jahrhunderts, in: Francia 6 (1978), S. 59–105.;;;https://perspectivia.net/publikationen/francia/bsb00016281/francia-00006-1978-00075-00122 ;;;;;;
Schmitz,_Konzil;Schmitz, Konzil;;;;;Gerhard Schmitz, Das Konzil von Trosly (909). Überlieferung und Quellen, in: Deutsches Archiv 33 (1977), S. 341–434.;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN345858735_0033&DMDID=dmdlog32 ;;;;;;
Schmitz,_Appellatio_extraiudicalis;Schmitz, Appellatio extraiudicalis;;;;;Heribert Schmitz, Appellatio extraiudicalis. Entwicklungslinien einer kirchlichen Gerichtsbarkeit über die Verwaltung im Zeitalter der klassischen Kanonistik (1140–1348), München 1970 (Münchener Theologische Studien, 3,29).;;;;;;;;;
Schneider,_Fulco;Schneider, Fulco;;;;;Gerhard Schneider, Erzbischof Fulco von Reims (883–900) und das Frankenreich, München 1973 (Münchener Beiträge zur Mediävistik und Renaissance-Forschung, 14). ;;;;;;;;;
Schramm,_König_von_Frankreich;Schramm, König von Frankreich;;;;;Percy Ernst Schramm, Der König von Frankreich. Das Wesen der Monarchie vom 9. zum 16. Jahrhundert, 2 Bde., Darmstadt 21960.;;;;;;;;;
